gene_symbol	wikipedia_daily_page_views	wikipedia_daily_page_views_change_from_previous_day	view_rank	view_rank_delta
CXCR5	20	7	737	455
TAS2R38	20	8	738	335
SLC22A6	20	12	739	26
RSPO1	20	16	740	-154
EN2	20	9	741	237
MALAT1	20	6	742	641
DMTN	20	10	743	143
A1BG	20	1	744	4519
MGAM	20	16	745	-153
TMEM97	20	17	746	-192
HLA-G	19	1	747	3013
CDK2	19	6	748	486
LRRK2	19	10	749	76
RAF1	19	29	750	-428
IKBKB	19	7	751	352
CDK4	19	7	752	352
ANXA2	19	10	753	79
APOC3	19	2	754	1905
JAK1	19	17	755	-221
PPARD	19	22	756	-338
MYCN	19	19	757	-267
NTRK2	19	27	758	-415
ERG	19	6	759	495
IGF2R	19	2	760	1948
DDIT3	19	7	761	374
PRDX1	19	4	762	983
DBH	19	17	763	-223
JUP	19	13	764	-74
NES	19	15	765	-155
ALOX15	19	3	766	1357
PMS2	19	5	767	707
LDHA	19	10	768	84
POR	19	15	769	-156
SHMT2	19	10	770	87
CYP11A1	19	9	771	173
ARID1A	19	6	772	524
ACAN	19	21	773	-330
DDR1	19	3	774	1396
AQP2	19	10	775	86
CCL21	19	13	776	-75
TNFSF4	19	7	777	383
MSLN	19	8	778	267
ACVR1	19	12	779	-21
LGALS9	19	3	780	1496
SLC2A3	19	4	781	1079
CD276	19	5	782	795
HTR7	19	26	783	-418
KLRB1	19	8	784	298
AKR1C4	19	17	785	-236
GCGR	19	19	786	-287
PPAT	19	8	787	297
HLA-C	18	9	788	111
LCK	18	25	789	-419
SCN5A	18	6	790	449
PLAUR	18	9	791	114
GJA1	18	8	792	205
CCNB1	18	8	793	207
CDKN2B	18	5	794	636
PARK7	18	4	795	911
EIF4E	18	5	796	641
FUS	18	9	797	117
RBP4	18	4	798	917
TNC	18	49	799	-617
CANX	18	13	800	-112
CR1	18	15	801	-193
PAX3	18	11	802	-3
CD1D	18	7	803	341
IFNA2	18	10	804	49
FCER2	18	11	805	0
FBL	18	5	806	722
MGP	18	12	807	-47
POLA1	18	29	808	-482
CES1	18	12	809	-48
LGR5	18	5	810	749
CALB2	18	3	811	1491
PVRL2	18	3	812	1492
SPN	18	4	813	1069
IVL	18	7	814	382
GAP43	18	4	815	1099
PGAM1	18	4	816	1100
ADSL	18	2	817	2279
OPRL1	18	3	818	1563
PNOC	18	2	819	2437
PNLIP	18	5	820	821
CHRM4	18	15	821	-198
SATB2	18	16	822	-232
LPO	18	10	823	70
DXO	18	20	824	-349
GDF11	18	13	825	-102
RHOV	18	20	826	-350
PIK3CA	17	11	827	-52
TP63	17	12	828	-101
PRKDC	17	1	829	2932
TRAF6	17	5	830	592
MMP7	17	7	831	278
PDGFRB	17	17	832	-299
NRAS	17	6	833	413
GRN	17	13	834	-153
NCL	17	7	835	281
MAP3K7	17	7	836	282
ITGA4	17	8	837	168
S100A4	17	10	838	5
HSF1	17	9	839	80
UCHL1	17	2	840	1847
KLF4	17	18	841	-330
GLI1	17	5	842	611
JAK3	17	7	843	289
UBE3A	17	12	844	-97
KRT5	17	15	845	-234
ORAI1	17	14	846	-193
ATF4	17	11	847	-47
REL	17	12	848	-98
PDPN	17	6	849	431
DSP	17	10	850	4
RAB7A	17	4	851	925
IL16	17	9	852	91
EEF2	17	12	853	-99
ACTN3	17	17	854	-310
SLC16A1	17	8	855	193
OCA2	17	21	856	-411
GALT	17	6	857	455
CENPA	17	26	858	-495
COL17A1	17	6	859	458
GLP1R	17	15	860	-242
CCL22	17	6	861	463
NTS	17	5	862	694
CDA	17	28	863	-528
MOG	17	11	864	-51
TNFRSF13C	17	1	865	3340
CD93	17	6	866	490
HDC	17	9	867	107
NNAT	17	8	868	219
TOX	17	6	869	525
MBIP	17	4	870	1152
C10orf54	17	0	871	10812
NOTCH1	16	15	872	-277
HMOX1	16	4	873	813
AURKA	16	5	874	547
TGFBR1	16	9	875	31
TNFRSF1B	16	3	876	1191
CEBPA	16	12	877	-143
IKBKG	16	7	878	230
VEGFC	16	4	879	822
PRKCZ	16	14	880	-244
LGALS1	16	11	881	-92
IL6R	16	10	882	-48
ABCC2	16	9	883	32
ATP7B	16	8	884	118
L1CAM	16	5	885	567
APOH	16	6	886	372
BCHE	16	30	887	-572
TFPI	16	14	888	-237
TP53BP1	16	8	889	128
C5	16	7	890	244
GSN	16	8	891	133
SELPLG	16	3	892	1230
HTR1B	16	35	893	-620
FOLH1	16	11	894	-92
VCAN	16	18	895	-380
MAVS	16	15	896	-284
POSTN	16	15	897	-281
HAVCR1	16	5	898	601
SLC1A2	16	6	899	403
APOC2	16	8	900	143
ENPP2	16	10	901	-35
ADCYAP1	16	9	902	50
CTSG	16	7	903	259
BCL3	16	10	904	-33
SMO	16	5	905	647
GYPA	16	2	906	1991
PFKFB3	16	10	907	-31
PLIN1	16	10	908	-31
CARTPT	16	13	909	-191
FGF19	16	5	910	677
HYAL1	16	0	911	5999
